,Product Number,material,mfr_part_number,PLANT,item_category_group,SERIAL_NO_PROFILE
219,Y2Q51UP,,,,,
220,Z9V06UP,,,,,
221,Z3U86UT,,,,,
222,V2W51UT,,,,,
223,Z4Z55AV,,,,,
224,Y4E57UT,,,,,
225,W0S26UA,,,,,
226,Z2F86LT,,,,,
227,M6V77AV,,,,,
228,X7W77UAR,,,,,
229,M9R69AV,,,,,
230,1GH98US,,,,,
231,1DY05UP,,,,,
232,Z0A71A4,,,,,
233,X9V20UT,,,,,
234,1FD73US,,,,,
235,Y2P65UP,,,,,
236,1GG13UP,,,,,
237,Y7C52LT,,,,,
238,X7W73UA,,,,,
239,X0B42US,,,,,
240,W2C45US,,,,,
241,V8P44AA,,,,,
242,W2N00UAR,,,,,
243,1JG70US,,,,,
244,P5V96UT,,,,,
245,W0D98US,,,,,
246,P7K38UC,,,,,
247,X7V54UA,,,,,
248,T6A81EC,,,,,
249,X7M48US,,,,,
250,M7A90UP,,,,,
251,X3H17UA,,,,,
252,Z2A37UT,,,,,
253,P3S26AT,,,,,
254,X2D61UT,,,,,
255,L3C65AV,,,,,
256,L1W21AV,,,,,
257,Z9K20UP,,,,,
258,X7T78UA,,,,,
259,W2K45UA,,,,,
260,L4Q17AV,,,,,
261,X7T50UA,,,,,
262,W2K44UA,,,,,
263,N5Y05UA,,,,,
264,X9U02UT,X9U02UT,X9U02UT,10,NORM,Z001
265,X9U02UT,X9U02UT,X9U02UT,60,NORM,Z001
266,V2W30UT,,,,,
267,Y1N95UA,,,,,
268,W2L18UA,,,,,
269,L3C67AV,,,,,
270,W2K88UA,,,,,
271,W8F39UP,,,,,
272,L3N88AV,,,,,
273,L3D24AV,,,,,
274,W2L17UA,,,,,
275,X0H85UA,,,,,
276,N5F41AV,,,,,
277,M9R63AV,,,,,
278,L0T33UA,,,,,
279,T6T09UA,,,,,
280,Z8U53UC,,,,,
281,V8P05AA,,,,,
282,L8U32AV,,,,,
283,1DA39UP,,,,,
284,X0H86UA,,,,,
285,L3N90AV,,,,,
286,V1H24UT,,,,,
287,L3C66AV,,,,,
288,V8P87AA,,,,,
289,X6V56UA,,,,,
290,Y6T75UP,,,,,
291,L4Q21AV,,,,,
292,T3M86AA,,,,,
293,L8U47AV,,,,,
294,W2K56UA,,,,,
295,X7T77UA,,,,,
296,L3D23AV,,,,,
297,M9R62AV,,,,,
298,V5F10AV,,,,,
299,W2L52UA,,,,,
300,V8N84AA,,,,,
301,Y2Q29UP,,,,,
302,W2L01UA,,,,,
303,X7U84UA,,,,,
304,X7U12UA,,,,,
305,L8U48AV,,,,,
306,X7V20UA,,,,,
307,N5Y13UA,,,,,
308,Z4P14UA,,,,,
309,X0S43UA,,,,,
310,Y0D52UP,,,,,
311,X6F82AA,,,,,
312,Z4P13UA,,,,,
313,L8U34AV,,,,,
314,M9L92AV,,,,,
315,V7B59UC,,,,,
316,X7V19UA,,,,,
317,N4E62AV,,,,,
318,1BQ14UA,,,,,
319,1HZ43UA,,,,,
320,X9U01UT,,,,,
321,Y3R95UC,,,,,
322,V8P23AA,,,,,
323,Y3Q34UC,,,,,
324,X6F62AA,,,,,
325,V8P00AA,,,,,
326,M5R97AV,,,,,
327,Y3R78UC,,,,,
328,X7T51UA,,,,,
329,X6F49AA,,,,,
330,X0S19UA,,,,,
331,W3U19AV,,,,,
332,Y6Z83US,,,,,
333,T6F44UT,,,,,
334,X7S46UA,,,,,
335,V8W56UP,,,,,
336,X6X83LA,,,,,
337,L4Q19AV,,,,,
338,N5Y04UA,,,,,
339,W2L55UA,,,,,
340,W2L19UA,,,,,
341,X7S47UA,,,,,
342,Z4L84UA,,,,,
343,L9Z81AV,,,,,
344,V5E86AV,,,,,
345,X7V31UA,,,,,
346,W7V75UA,,,,,
347,W2M99UA,,,,,
348,V8T99UA,,,,,
349,Z8P61UP,,,,,
350,W2M76UA,,,,,
351,W3G59UP,,,,,
352,Y3S91UC,,,,,
353,V2N76UP,,,,,
354,X0S48UA,,,,,
355,X7T74UA,,,,,
356,V5B57US,,,,,
357,V2W29UT,,,,,
358,V8P50AA,,,,,
359,X0S32UA,,,,,
360,V8Q83AA,,,,,
361,1FX82UT,,,,,
362,X0S49UA,,,,,
363,V8P29AA,,,,,
364,T6F47UT,,,,,
365,V6D99AV,,,,,
366,W2N48UA,,,,,
367,W0S60UT,,,,,
368,X6V89UA,,,,,
369,V2T57UP,,,,,
370,X6F52AA,,,,,
371,W6G21US,,,,,
372,X7V32UA,,,,,
373,N5Y09UA,,,,,
374,L4Q18AV,,,,,
375,T3M74AA,,,,,
376,W2L32UA,,,,,
377,W2M98UA,,,,,
378,V2W71UT,,,,,
379,L3D26AV,,,,,
380,V8P15AA,,,,,
381,Z4Z35UA,,,,,
382,T4L80UT,,,,,
383,V8P25AA,,,,,
384,V2W12UT,,,,,
385,W7B90UA,,,,,
386,W2M97UA,,,,,
387,X6F75AA,,,,,
388,X7U46UA,,,,,
389,L3D29AV,,,,,
390,W4S16UC,,,,,
391,L3N92AV,,,,,
392,Z4Z22UA,,,,,
393,X8A20UP,,,,,
394,W7D57UA,,,,,
395,W3Q47US,,,,,
396,X6G08AA,,,,,
397,W0V89UP,,,,,
398,W0W72UP,,,,,
399,Z9N42UP,,,,,
400,X7V33UA,,,,,
401,W5X51UT,,,,,
402,F9B68UC,,,,,
403,P6R26UT,,,,,
404,P5U73UT,,,,,
405,W4S60UC,,,,,
406,W6K18US,,,,,
407,Y4B27LA,,,,,
408,X0H76UA,,,,,
409,V8Q20AA,,,,,
410,W5Y89LT,,,,,
411,1BM27UP,,,,,
412,X7V58UA,,,,,
413,1NL49UP,,,,,
414,L4Q15AV,,,,,
415,V5F13AV,,,,,
416,Y6Z84US,,,,,
417,M6V80AV,,,,,
418,W2L75UA,,,,,
419,W7D53UA,,,,,
420,X7V30UA,,,,,
421,X7T59UA,,,,,
422,1AF79UA,,,,,
423,W7C01UA,,,,,
424,V2W23UT,,,,,
425,Y4T03UA,,,,,
426,V9C02AA,,,,,
427,T8Z05UT,,,,,
428,X7S48UA,,,,,
429,L9K19UT,,,,,
430,T6W22UT,,,,,
431,V0N26AA,,,,,
432,W7D66UA,,,,,
433,Y3T16UC,,,,,
434,V7R96LA,,,,,
435,N4E54AV,,,,,
436,L9Z80AV,,,,,
437,W4Q25AV,,,,,
438,W0V40UP,,,,,
439,V5Y04UC,,,,,
440,Z4L85UA,,,,,
441,Z2K88UA,,,,,
442,Y4A25UA,,,,,
443,W3W35UC,,,,,
444,W5X75US,,,,,
445,X8X49UC,,,,,
446,T3M72AA,,,,,
447,V1H17UT,,,,,
448,Z3V54US,,,,,
449,Y5X34UA,,,,,
450,W2L16UA,,,,,
451,Z9Q42UP,,,,,
452,V8P53AA,,,,,
453,W3P06US,,,,,
454,Y6U10UP,,,,,
455,1BD69US,,,,,
456,Y0D06UP,,,,,
457,L3C71AV,,,,,
458,V4W70US,,,,,
459,V8U02UA,,,,,
460,X4A48UC,,,,,
461,X6W26AA,,,,,
462,X0J69UA,,,,,
463,V1H64UT,,,,,
464,V8P48AA,,,,,
465,X8D64UP,,,,,
466,Z5T88UC,,,,,
467,P7H71UC,,,,,
468,X1L84US,,,,,
469,Z1Y99LT,,,,,
470,V2T90UC,,,,,
471,Z9V02UP,,,,,
472,J5V76UC,,,,,
473,1DA87UP,,,,,
474,Y5X39UA,,,,,
475,X6V88UA,,,,,
476,Y3K68AV,,,,,
477,X5J39US,,,,,
478,X7T57UA,,,,,
479,X8U89AV,,,,,
480,V9C11AA,,,,,
481,T6Y42UP,,,,,
482,Y6C20US,,,,,
483,1BP93UA,,,,,
484,L9K20UT,,,,,
485,L9K23UT,,,,,
486,X9T97UT,,,,,
487,L8U46AV,,,,,
488,X1X73US,,,,,
489,Z5M04AA,,,,,
490,Y2Q39UP,,,,,
491,L3N94AV,,,,,
492,W2M74UA,,,,,
493,Z5Y09US,,,,,
494,T3M80AA,,,,,
495,W5Y27UA,,,,,
496,1DW49UP,,,,,
497,W9D58UC,,,,,
498,X7T68UA,,,,,
499,1AJ14US,,,,,
500,Y3Q38UC,,,,,
501,W2K78UA,,,,,
502,V1K89US,,,,,
503,X7U42UA,,,,,
504,V6E01AV,,,,,
505,M7T47UC,,,,,
506,1FE51US,,,,,
507,X7W81UA,,,,,
508,X6Y04LA,,,,,
509,X6F86AA,,,,,
510,W5Y42UT,,,,,
511,1BP89UA,,,,,
512,X7U17UA,,,,,
513,X7U18UA,,,,,
514,Y2P25UT,,,,,
515,1BS97UT,,,,,
516,X6F89AA,,,,,
517,W2N20UA,,,,,
518,W3X81UC,,,,,
519,X6F55AA,,,,,
520,X6F74AA,,,,,
521,Z2D59UT,,,,,
522,L9K22UT,,,,,
523,1JX06UP,,,,,
524,Y6Z04US,,,,,
525,1KJ76UT,,,,,
526,Y0D91UP,,,,,
527,T4F00AV,,,,,
528,X1H89EP,,,,,
529,Z9K07UP,,,,,
530,Z3S13US,,,,,
531,1DV78US,,,,,
532,Y4E56UT,,,,,
533,X3V00AV,,,,,
534,X0E72US,,,,,
535,1BQ09UA,,,,,
536,W9Z88US,,,,,
537,Y4X73US,,,,,
538,W6K24US,,,,,
539,V0B22UP,,,,,
540,1DY31UP,,,,,
541,W4S13UC,,,,,
542,L1D39UC,,,,,
543,L8Q64EC,,,,,
544,1BS68UT,,,,,
545,Z1Z78UT,,,,,
546,T6D92UT,,,,,
547,W7D65UA,,,,,
548,Z1X76US,,,,,
549,X6G34AA,,,,,
550,V9E67A6,,,,,
551,Z9X59US,,,,,
552,Y6Z85US,,,,,
553,L1F43UC,,,,,
554,Y2S53US,,,,,
555,W3G87UP,,,,,
556,W7T86EC,,,,,
557,Y4B35LT,,,,,
558,V8H85US,,,,,
559,L8U31AV,,,,,
560,E4G03UC,,,,,
561,1BJ81UP,,,,,
562,W8F31UP,,,,,
563,T4P05UT,,,,,
564,W9H64US,,,,,
565,V8C50US,,,,,
566,Z1Z77UT,,,,,
567,W8U23US,,,,,
568,W8F15UP,,,,,
569,X7T96UA,,,,,
570,X7L82US,,,,,
571,1FC93US,,,,,
572,W4D52UC,,,,,
573,Z9P16UP,,,,,
574,801820R-999,,,,,
575,Z9R28UP,,,,,
576,1AJ09US,,,,,
577,T4A40AAR,,,,,
578,V8P87AAR,,,,,
579,Z9L23UC,,,,,
580,V2Q26US,,,,,
581,Y5S41UA,,,,,
582,Z5T91UP,,,,,
583,Y4A37AA,,,,,
584,1JR96US,,,,,
585,Y6T11UP,,,,,
586,V9C22AA,,,,,
587,X1B79UA,,,,,
588,X1B80UA,,,,,
589,W2L95UA,,,,,
590,W8E95UP,,,,,
591,T8Z09UA,,,,,
592,Z9K03UP,,,,,
593,1BL32UP,,,,,
594,Y6T81UP,,,,,
595,Y3R38UC,,,,,
596,X1E40UP,,,,,
597,Y6F11UP,,,,,
598,X7T84UA,,,,,
599,X7W84UAR,,,,,
600,X7T81UA,,,,,
601,1HK66EA,,,,,
602,1AA13PA,,,,,
603,X3G31PC,,,,,
604,X7V65UA,,,,,
605,X2D59UT,,,,,
606,X9A88US,,,,,
607,Y9G63US,,,,,
608,W4W46UP,,,,,
609,W3Q46US,,,,,
610,Z8U83UC,,,,,
611,1CU26UP,,,,,
612,X9A87US,,,,,
613,V9Y23UP,,,,,
614,Z6N73US,,,,,
615,L9K59UT,,,,,
616,V8Y17UP,,,,,
617,Y6P39UP,,,,,
618,807568R-999,,,,,
619,Y1P56EC,,,,,
620,1AJ98US,,,,,
621,V8J00US,,,,,
622,1GC45US,,,,,
623,X6V85UA,,,,,
624,Y3R16UC,,,,,
625,X0H93UA,,,,,
626,Z1Y81LT,,,,,
627,1CS13UP,,,,,
628,W3W50UP,,,,,
629,Z2E15UT,,,,,
630,X8F33UP,,,,,
631,Y1E97UC,,,,,
632,X8F74US,,,,,
633,T8Y94AW,,,,,
634,Z3P70UA,,,,,
